Bridge of Dawn Subtitles (en-us)
Cue,Speaker,Lines
1,Boy,"Mama, why does the day have to end?"
2,Mother,"Well, I suppose it’s so that the other side of the world has some light on it, too."
3,Boy,Mama...
4,Mother,Yes?
5,Boy,Why can’t people live forever?
6a,Mother,That’s a good question.
6b,Mother,"You know, I think there’s an old story that would answer it."
6c,Mother,Did you ever hear of Grand Duke Vulpes?
7,Boy,Who?
8,Mother,"Well, when he was little he was just known as Vulpes the Fox."
9a,Mother,"Now, Vulpes was a very, very fast fox."
9b,Mother,"In fact, he was the fastest fox of them all."
9c,Mother,"And, one day, when he was lying in the forest with his friend Fortuna Fox,"
9d,Mother,a great black crow named Beatrice Beak landed next to him.
10,Beatrice,Are you Vulpes the Fox?
12,Vulpes,Yes. Why do you ask?
13,Beatrice,"Oh, wonderful! I’ve flown a long, long way to tell you your fortune."
14,Vulpes,My fortune! But how could anyone possibly know the future?
15,Beatrice,Can you count to ten?
16,Vulpes,Uh... yes?
17a,Beatrice,See. Knowing the future is just like that!
17b,Beatrice,"Now, about your fortune..."
18,Vulpes,But... Well... what about it?
19,Beatrice,Did you know you will become famous one day?
20,Vulpes,Famous? But I’m just a common fox.
21a,Beatrice,"Oh no, you’re quite an uncommon fox."
21b,Beatrice,"In fact, some day you’ll be a royal fox."
22,Vulpes,Nonsense!
23,Beatrice,"It’s true! And, do you know why you’ll be famous?"
24,Vulpes,No idea whatsoever.
25,Beatrice,"Well, because some day you will find the Bridge of Dawn."
26,Vulpes,The what of what?
27,Beatrice,Do you not know what dawn is?
28a,Vulpes,Of course I know what dawn is!
28b,Vulpes,But what’s the Bridge of Dawn?
29a,Beatrice,It is said that each life takes a little space on the world.
29b,Beatrice,"And, so, to make sure it doesn’t run out of space, the world eventually reclaims our life."
29c,Beatrice,But the Bridge of Dawn makes it so the sun never sets on your space in the world.
30,Vulpes,I don’t get it. What’s the point of that?
31,Beatrice,"So you can live forever, silly fox!"
